,element,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
0,H,-1.7142857142857142,1.2859503399157364,-1.6088529630928414,-1.4299432243028214,-1.243056157230574,-2.5254814358655944,-2.7574160710938207,0.7463890447175887,-1.9651984506647284,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.1941358035633725,2.25,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,-1.1878196061411186,2.4958013043721246,-0.2078325895799724,0.1841695256630751
1,He,-1.6785714285714286,1.4834234527998942,-1.56796858661962,-0.08841311635374915,1.6894182394406947,-2.5254814358655944,-2.8258225567449973,-0.16460102774235633,0.4477667355944951,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.067405855045159,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,-0.8466344718718971,6.176960613745653,-0.2078325895799724,0.6917751752220731
2,Li,-1.6428571428571428,-1.7090585388273254,-1.527852349775475,-0.9373351702326788,-1.243056157230574,-1.8739609590598425,-0.5456063683724433,-1.2034493559861525,-1.9651984506647284,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.1941358035633725,2.25,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,-0.5894964078801331,-0.32588186366206906,-0.2078325895799724,0.7572726783909761
3,Be,-1.6071428571428572,0.4631457028984117,-1.499575707993344,0.30215085664673225,-1.0705576633087348,-1.8739609590598425,-1.2752755486516605,-0.26049471958024495,0.4477667355944951,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.067405855045159,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,-1.111367752680089,-0.32588186366206906,-0.2078325895799724,0.1841695256630751
4,B,-1.5714285714285714,0.6277066303018767,-1.475017493303737,1.1850091777149463,0.826925769831498,-1.8739609590598425,-1.548901491256367,0.49067253314988474,0.4477667355944951,-0.04396533600645023,-0.8885851142416609,-0.6736399056804304,-0.9406759065269455,-0.4444444444444444,2.8259066188618682,-0.6299958172994405,-0.44122126175828436,0.10788798583559614,-1.1543906584512957,0.22171079495044985,-0.2078325895799724,-0.27431299651924573
5,C,-1.5357142857142858,0.7922675577053415,-1.4586386877974984,2.837567583267758,0.9994242637533374,-1.8739609590598425,-1.7313187863261714,1.3057689137719402,0.4477667355944951,0.48911436307175926,-0.8885851142416609,-0.6736399056804304,-0.813945958008732,-0.4444444444444444,2.157338467570158,-0.6299958172994405,-0.44122126175828436,-0.10141470668546039,-1.2462827881995526,1.2895883417984855,-0.2078325895799724,0.1841695256630751
6,N,-1.5,0.9568284851088065,-1.4313884620823594,-1.3749998587378656,1.1719227576751767,-1.8739609590598425,-1.845329595744799,2.0889007304480334,0.4477667355944951,1.0221940621499688,-0.8885851142416609,-0.6736399056804304,-0.6872160094905185,-0.4444444444444444,1.4887703162784476,-0.6299958172994405,-0.44122126175828436,-0.3107173992065169,-0.6989025079780844,1.9870144247163983,-0.2078325895799724,0.1841695256630751
7,O,-1.4642857142857142,1.1213894125122714,-1.404183289345607,-1.384242982023161,1.344421251597016,-1.8739609590598425,-1.959340405163427,2.7281920093672922,0.4477667355944951,1.5552737612281784,-0.8885851142416609,-0.6736399056804304,-0.5604860609723051,-0.4444444444444444,0.8202021649867374,-0.6299958172994405,-0.44122126175828436,-0.5200200917275735,-1.0385136334995786,-0.32588186366206906,-0.2078325895799724,-2.7959668685220103
8,F,-1.4285714285714286,1.3188625253964295,-1.3632396449966966,-1.3856994741772075,1.5169197455188554,-1.8739609590598425,-2.1645598621169566,3.591235235908292,0.4477667355944951,2.088353460306388,-0.8885851142416609,-0.6736399056804304,-0.43375611245409157,-0.4444444444444444,0.15163401369502705,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,-1.0023863850993668,0.38196428953127887,-0.2078325895799724,-2.746843741145333
9,Ne,-1.3928571428571428,1.5163356382805873,-1.3471202791143606,-1.418123230283444,1.6894182394406947,-1.8739609590598425,-2.141757700233231,-0.16460102774235633,0.4477667355944951,2.6214331593845976,-0.8885851142416609,-0.6736399056804304,-0.3070261639358781,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,-0.8265471221389992,4.376803645472214,-0.2078325895799724,0.6917751752220731
10,Na,-1.3571428571428572,-1.6761463533466323,-1.308747848107042,-1.0301249242312442,-1.243056157230574,-1.222440482254091,0.3208757832091274,-1.28336076585106,-1.9651984506647284,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.1941358035633725,2.25,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,0.1690259029292957,-0.32588186366206906,-0.2078325895799724,0.7572726783909761
11,Mg,-1.3214285714285714,0.4960578883791047,-1.2907917689549955,-0.41153029883607534,-1.0705576633087348,-1.222440482254091,-0.24917826388401115,-0.6760340508777636,0.4477667355944951,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.067405855045159,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,-0.21193418255033167,-0.32588186366206906,-0.2078325895799724,0.1841695256630751
12,Al,-1.2857142857142858,0.6606188157825696,-1.2542505460164772,-0.3997999351031004,0.826925769831498,-1.222440482254091,-0.705221501558522,-0.19656559168831897,0.4477667355944951,-0.04396533600645023,-0.8885851142416609,-0.6736399056804304,-0.9406759065269455,-0.4444444444444444,2.8259066188618682,-0.6299958172994405,-0.44122126175828436,0.10788798583559614,-0.5962921281857813,-0.32588186366206906,-0.2078325895799724,0.6917751752220731
13,Si,-1.25,0.8251797431860346,-1.2391788038667773,0.44443893631127945,0.9994242637533374,-1.222440482254091,-0.9332431203957774,0.2669205855281438,0.4477667355944951,0.48911436307175926,-0.8885851142416609,-0.6736399056804304,-0.813945958008732,-0.4444444444444444,2.157338467570158,-0.6299958172994405,-0.44122126175828436,-0.10141470668546039,-0.3588416656715253,-0.04813309390650664,-0.2078325895799724,0.7245239268065247
14,P,-1.2142857142857142,0.9897406705894994,-1.1997470446360863,-1.0901436047637623,1.1719227576751767,-1.222440482254091,-1.0244517679306795,0.7304067627446069,0.4477667355944951,1.0221940621499688,-0.8885851142416609,-0.6736399056804304,-0.6872160094905185,-0.4444444444444444,1.4887703162784476,-0.6299958172994405,-0.44122126175828436,-0.3107173992065169,-0.2311078219920487,0.2580013845304134,-0.2078325895799724,-2.959710626444268
15,S,-1.1785714285714286,1.1543015979929645,-1.1848490076576608,-1.0105295028664179,1.344421251597016,-1.222440482254091,-1.0700560916981308,1.3537157596908849,0.4477667355944951,1.5552737612281784,-0.8885851142416609,-0.6736399056804304,-0.5604860609723051,-0.4444444444444444,0.8202021649867374,-0.6299958172994405,-0.44122126175828436,-0.5200200917275735,-0.038231074319022416,0.4653248517347594,-0.2078325895799724,-1.8462530725729172
16,Cl,-1.1428571428571428,1.3517747108771223,-1.1385946165139276,-1.253382763874979,1.5169197455188554,-1.222440482254091,-1.1384625773493073,2.2806881141238113,0.4477667355944951,2.088353460306388,-0.8885851142416609,-0.6736399056804304,-0.43375611245409157,-0.4444444444444444,0.15163401369502705,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,-0.11554488495142612,0.5698848672572288,-0.2078325895799724,-1.9444993273262716
17,Ar,-1.1071428571428572,1.5492478237612803,-1.0772269989840924,-1.3517520032021226,1.6894182394406947,-1.222440482254091,-1.047253929814405,-0.16460102774235633,0.4477667355944951,2.6214331593845976,-0.8885851142416609,-0.6736399056804304,-0.3070261639358781,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,0.1268524621985435,3.0013543691147846,-0.2078325895799724,0.6917751752220731
18,K,-1.0714285714285714,-1.6432341678659395,-1.0888274582977968,-1.0685987246696738,-1.243056157230574,-0.5709200054483393,1.1645557729069724,-1.4591658675538564,-1.9651984506647284,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.1941358035633725,2.25,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,2.799169536119399,-0.32588186366206906,-0.2078325895799724,0.7572726783909761
